Question,Cognitive_Category,,,,
Explain : Reliability  Cyclomatic Complexity ,Understand,,,,
Once we write the program and test it our work is not over.,Remember,,,,
Design should be traceable to the requirements model., Remember,,,,
Full form of MTBF is  Mean Time Between Failure., Remember,,,,
Context diagram represents system as a whole.,Remember,,,,
For software architecture there can be many separate software designs., Remember,,,,
Most of the technical effort is consumed in design phase of software development.,Remember,,,,
Black Box testing focuses on the program control structure,Remember,,,,
Explain in detail the process model which is normally suited for development of large-scale software system.,Evaluate,,,,
Explain Spiral model with suitable example. Also explain how it differs from Software Prototyping model,Analyze,,,,
Consider a project to develop a text editor. Major modules of project are: 1. Menu Panel (size 9KB) 2. Text editing window (size 4 KB) 3. Short cut  keys handler (size 6 KB). Use COCOMO to determine the overall cost of the project and duration of developm,Apply,,,,
Explain function point analysis method. Compute the function points for the following data set: Inputs =8 Outputs= 12 Inquiries = 4 Logical files = 41 Interfaces =1 and   Fi = 41., Apply,,,,
What is SRS? Why SRS is known as black-box specification of the system? What are major issues addressed by SRS?,Remember,,,,
Define module coupling and cohesion. Explain different types of coupling and cohesion.,Understand,,,,
What is Software Quality Assurance? Explain various factors that affect Software Quality.,Understand,,,,
Explain the process model which is used in situations where the requirements are well defined.,Apply,,,,
Write short note on : Risk Management,Understand,,,,
Explain “How to manage the different versions that get created and how to maintain code quality under changing conditions.”,Understand,,,,
Explain in detail the design issues while designing User Interface.,Understand,,,,
Explain Black box testing and White box testing. Explain any one technique to carry out each testing.,Understand,,,,
What are different levels of testing and the goals of the different levels?,Remember,,,,
Write short note on: Reverse Engineering.,Understand,,,,
Explain Software Process Improvement. Explain various elements of SPI framework and maturity model.,Understand,,,,
Write short note on: Software Project Management,Understand,,,,
Explain incremental model for system development. Differentiate it with spiral model.,Analyze,,,,
What is W5HH principle? Explain in detail.,Understand,,,,
Draw the Data Flow Diagram with different levels for withdraw and deposit of money in a bank,Create,,,,
What is software prototyping? Explain its significance in software engineering with example.,Understand,,,,
Define Quality for software. List and explain SQA activities,Understand,,,,
Prepare an E-R diagram for a simple Library Management System.,Create,,,,
Explain software testing strategy for conventional software architecture. Draw the spiral diagram showing testing strategies with phases of software development.,Create,,,,
Prepare a state diagram for Microwave Oven showing all states of it.,Create,,,,
How unit testing strategy works on a software module? What errors are commonly found during unit testing?,Analyze,,,,
Define FOUR Ps for project management and explain them in detail,Understand,,,,
Explain the significance of User Interface (UI) in a system. Also explain the design model for UI.,Apply,,,,
List and explain requirement engineering tasks.,Understand,,,,
What is Cyclomatic Complexity? Define steps to find cyclomatic complexity using flow graph.,Apply,,,,
What is activity diagram and swim-lane diagram? Draw activity diagram for Billing Counter of a shopping mall.,Create,,,,
Draw and explain Process Framework,Understand,,,,
How do we define software engineering? Draw and explain software engineering layers.,Understand,,,,
What is Object Oriented Design of a system? Create a class diagram showing all possible relationships between classes of a system,Create,,,,
Describe the difference between risk components and risk drivers.,Understand,,,,
Develop a complete use cases for the system which is known to you.,Create,,,,
Develop a complete test strategy for the system which is known to you.,Create,,,,
Describe requirements validation,Understand,,,,
Describe generic view of software Engineering.,Understand,,,,
Explain in brief the spiral model,Understand,,,,
Using appropriate example explain control flow mode,Understand,,,,
Explain in brief the process model which is used in situations where requirements are well defined and stable.,Apply,,,,
Using appropriate example explain data dictionary,Understand,,,,
Explain the W^5HH principle,Understand,,,,
List set of guidelines for formal technical reviews,Remember,,,,
List and explain work tasks for the communication activity,Understand,,,,
Explain importance of SQA,Understand,,,,
Using example explain the basic path testing method,Understand,,,,
Describe coding standards.,Understand,,,,
List set of guidelines for BVA ? Also Explain merits and demerits of BVA,Remember,,,,
Describe integrated CASE Environment,Understand,,,,
Distinguish verification and validation.,Understand,,,,
 Define System Engineering.,Remember,,,,
 What do you mean by functional and non–functional requirements?,Remember,,,,
List two advantages 'of employing Prototyping in Software.Process.,Remember,,,,
Define Software Architecture.,Remember,,,,
 List the notations used in Data-flow models:,Remember,,,,
 What are the classes of loops that can.be tested?,Remember,,,,
What isCyclomatic complexity?.,Remember,,,,
What is software configuration management?,Remember,,,,
What is error tracking?,Remember,,,,
Discuss in detail about any two evolutionary process models.,Understand,,,,
Discuss about the claSsic Waterfall process model.,Understand,,,,
Explain the prototype paradigm in process Models,Understand,,,,
What are the components of the standard structure for the software requirements document? Explain in detail.,Understand,,,,
Write the software requirement specification for a system of your  choice,Create,,,,
What are the types of behavioural models? Explain with examples.,Understand,,,,
Explain in detail about any four architectural styles.,Understand,,,,
What are the characteristics of a .real-time system? Explain why  real-time systems usually have to be implemented using concurrent   processes,Apply,,,,
Illustrate with the aid of an appropriate .example how to design a real-time monitoring and control systems:,Create,,,,
 Explain in detail about the Integration testing.,Understand,,,,
Explain in detail about Basis path testing,Understand,,,,
What is COCOMO model? Explain in detail,Understand,,,,
What are CASE tools? ExpliOn the role of CASE tools in software development process.,Understand,,,,
Elaborate on Software Configuration Management.,Understand,,,,
What are the categories of software risks? Give an overview  about   risk management. ,Understand,,,,
What is software process? List its activities.,Remember,,,,
Distinguish between verification and validation.,Understand,,,,
List the benefits of software prototyping.,Remember,,,,
What is data dictionary?,Remember,,,,
Define data abstraction.,Remember,,,,
Write the use of data acquisition system.,Remember,,,,
What is black box testing?,Remember,,,,
 Write down the generic characteristics of software testing.,Remember,,,,
Compare size-oriented with function-oriented metrics.,Understand,,,,
What do you mean by estimation risk? ,Remember,,,,
With a neat sketch explain the function of system engineering process.,Understand,,,,
What is computer based . system? Explain the various systeml elements used in it,Understand,,,,
Explain the business process engineering hierarchy with an  example.,Understand,,,,
What is the goal of product engineering?,Understand,,,,
Explain the metrics used for specifying non-functional  requirements.,Understand,,,,
Show the template of IEEE standard software requirements document,Apply,,,,
Explain the function-of requirements engineering process.,Understand,,,,
Describe the use of behavioral model with-examples,Understand,,,,
Discuss the design heuristics for effective modularity design,Apply,,,,
Explain the architectural styles used in architectural design,Understand,,,,
List the activities of user interface design process,Remember,,,,
Explain the general model of a real time system,Understand,,,,
Explain the integration testing in detail,Understand,,,,
Write note on unit testing,Understand,,,,
Explain the categories of debugging approaches,Understand,,,,
EXplain the use of COCOMO model,Understand,,,,
Describe the steps involved in project scheduling process,Understand,,,,
Briefly discuss the activities . of Software configuration management.,Understand,,,,
Explain the types of software project plan,Understand,,,,
What is Software Engineering?,Remember,,,,
`Software doesn't wear out'. Justify,Evaluate,,,,
List two advantages of using traceability tables in the requirements  management phase:,Remember,,,,
What are the types.of prototypes?,Remember,,,,
Develop a CRC model index card for a class 'Account' used in a Banking  application.,Create,,,,
List two principles of good design.,Remember,,,,
What are the levels at which testing is done?,Analyze,,,,
 Define Regression Testing.,Remember,,,,
Define Software Quality.,Remember,,,,
What is Risk? Give an example of risk.,Understand,,,,
Compare the following life cycle models based on their distinguishing factors, strengths and weaknesses Waterfall Model, RAD Model, Spiral'Model and Formal Methods Model.,Analyze,
 Develop the use case diagram for the specification above,Create,,,,
For any two scenarios draw an activity diagram and sequence diagram.,Create,,,,
What is the purpose of feasibility study? ,Remember,,,,
State the inputs and results of the feasibility study,Remember,,,,
List any four issues addressed by. a feasibility study.,Remember,,,,
Elaborate the phases-involved when carrying out a feasibility study,Understand,,,,
Differentiate functional and non-functional requirements.,Understand,,,,
For the requirement given below identify stakeholders functional and non functional requirements, Analyze,,,,
What is system modelling? Explain the 'process of creating models and the factors that should.be considered when building models.,Understand,,,,
Give a name for the system. Draw the Level 6 DFD (Context Flow 'Diagram)  Draw the Level — DFD.,Create,,,,
Given a set Of numbers 'n' ,the function FindPrime(a[ ]n) prints a number if it is a _prime number. Draw control flow graph, calculate the cyclomatic complexity and enumerate all paths. State how 'many test cases are needed to adequately cover .the code in terms of branches, decisions and-statement? Develop the necessary test cases using sample values for 'a' and 'n'.,Create,
What is black box testing? ,Remember,,,,
What is Equivalence Class Partitioning? list rules used to define valid and invalid equivalence classes. EXplain the technique Using examples.,Understand,,,,
What is Boundary Value Analysis? Explain the technique specifying rules. and its usage with the. help of an example.,Understand,,,,
Explain the COC.OMO model for estimation.,Understand,,,,
State ZIPF's law.,Remember,,,,
What is the purpose of Delphi method? State advantages and disadvantages of the method.,Remember,,,,
What is SoftWare Configuration Management? Explain various aspects of Configuration. Management.,Understand,,,,
What are the potential advantages of adhering to life cycle models for software?,Remember,,,,
Is it always possible to realize win-win model for software? Justify.,Evaluate,,,,
Distinguish between the terms inception elicitation and elaboration with reference to requirements.,Understand,,,,
An SRS is traceable. Comment.,Understand,,,,
How do you apply modularizalion criteria for a monolithic software?,Apply,,,,
What. are the design quality attributes 'FURL'S' meant?,Remember,,,,
What is a Big-Bang approach?,Remember,,,,
How are the software testing results related to the reliability of the software?,Understand,,,,
An organic software occupies 15,000 LOC. How many programmers are needed   to complete?,Apply,,,
How are the software risks assessed?,Evaluate,,,,
Describe waterfall incremental, iterative water fall model and spiral  model based SLCS and compare.,Understand,,,
How the software products are classified? Discuss briefly about business process engineering and product engineering.,Understand,,,,
Describe the requirement engineering process and how the requirements  are managed.,Understand,,,,
Explain the functional and behavioural models for software requirement  process.,Understand,,,,
Discuss about software architecture design with emphasize on far in far out coupling cohesion and factoring.,Understand,,,,
 What are the characteristics of a good user interface design? Describe  ow UID may be developed for a data acquisition system.,Understand,,,,
Write elaborately on white box testing for a software. How do you develop test suites?,Create,,,,
Discuss the software implementation techniques and debugging guidelines.,Understand,,,,
How the cost of a software is estimated using (i) function point metric model (ii) cocomo (by three methods). What is the contribution of  technology complexity factor in function point model?,Apply,,,,
Write short notes on the following : (i) PERT and CP/vi for scheduling  (ii) RIVIMP  (iii) ESTIMACS and   (iv) Software maintenance cost. ,Understand,,,,
Prototype is : a) Mini model of existing system  b) Mini model of proposed system c) Working model of the existing system d) None of these.,Remember,,,,
The present trend in data processing system is : a) Distributed processing b) Remote processing c) Real-time processing  d) None of these.,,,,,
 A class is a : a)  group of objects b) template of object of a particular type c)class of object d)classification of object.,Remember,,,,
In UML diagram of a class a) state of object cannot be represented  b) state is irrelevant c) state is represented as an attribute  d) state is represented as a result of operation.,Remember,,,,
The testing performed by friendly user is : a) Alpha testing      b) Beta testing  c) White box testing  d) None of these.,Remember,,,,
A good software design contains :   a) High cohesion and low coupling  b) Low cohesion and low coupling   c) High cohesion and high coupling d) Low cohesion and high coupling.,Remember,,,,
Which is not supported by UML ? a) Use case diagram   b) Class diagram  c) ER diagram         d) Sequence diagram.,Remember,,,,
How many parameters are used in complexity  adjustment in F.P. ?  :  a)  17   b)  21   c)  14                d)  12.,Remember,,,,
ix) Which level of SEI CMM is called as managed ?  : a) Level 1                b) Level 2     c)   Level 3              d) Level 4.,Remember,,,,
What is the approximate time taken for coding ?   a) 17%                    b) 21%   c) 3%                     d) 40&.,Remember,,,,
What are Cohesion and Coupling ? Classify them according  to priority.,Understand,,,,
What is Configuration Management ? Discuss about the necessity of Configuration Management.  ,Analyze,,,,
 Compare function oriented and object oriented approach for  software design with example.,Understand,,,,
Why do we need Structure analysis and Structure design ?  What is Context diagram ?   ,Remember,,,,
Determine the Cyclomatic complexity for GCD function. ,Evaluate,,,,
 Explain the drawbacks of waterfall model. Why is sprial model called meta model ?   ,Understand,,,,
What is a prototype model ? Under what circumstances is it beneficial to construct a prototype model ? Does  the construction of a prototype model always increase  the overall cost ? ,Evaluate,,,,
Who are the different categories of users of the SRS  document ? What are their expectations from SRS ?,Remember,,,,
What are the advantages of requirement specification  document ? Who is a good software engineer ?,Remember,,,,
Which life cycle model will you follow for developing software for — i) a game ? (ii) a Compiler for new language ?   ,Apply,,,,
What is the role of a manager in project management ?  What is Risk Containment ?       ,Remember,,,,
Write short note on Intermediate COCOMO and  Complete COCOMO.   ,Understand,,,,
Two software engineers separately estimated a given  project to be of 10000 and 15000 lines of code  respectively. Bring out the Effort and Schedule time implications of their estimate using Organic COCOMO.,Apply,,,,
Why do we need to maintain the coding standard and   guidelines for coding ? What are the standards we need  to maintain ?       ,Remember,,,,
Draw a DFD for Hotel Management System. ,Create,,,,
 What are the shortcomings of CMM ? Compare ISO 9000 certification and SEI CMM.,Understand,,,,
Write short notes on the following : (i)     TQM (ii) Boundary value analysis (iii) Alpha and Beta testing.,Understand,,,,
Tracking the correspondence between the design  component and the SRS is known as :  a) Availability        b) Traceability   c)  Maintainability    d) Reliability.,Remember,,,,
When the two bubbles are interconnected directly, it is referred as  a) Serial DFD          b) Direct DFD  c) Synchronous         d) Balanced DFD.,Remember,,,
DFD balancing means :  a) Balancing of weight of processes e b) Must match the total number of bubbles c) Must match the data flow at the next level of DFD  d) none of these.,Remember,,,,
System Testing performed by a friendly set of cAsto ers is called : a) Alpha Testing        b) Beta Testing c) Performance Testing d) Usability Testing. ,Remember,,,,
Function Point describes  a) The SRS document b) The test plans c) The functional decomposition  d) The size of a software product directly from its  specification.,Remember,,,,
The potential risks are best detected by a) Spiral Model         b) Waterfall Model c) Incremental Model    d) Prototyping Model.,Remember,,,,
The most desirable form of cohesion is  a) sequential cohesion b) procedural cohesion c) coincidental cohesion d) functional cohesion.,Remember,,,,
Software testing is the 10 a) process of demonstrating t t errors are not  present  b) process of establishing confidence that a program  does what it is supposed to do c) process of executing a program to show that it is  working as per specifications d) process of executing a program with the intent of  finding errors.,Remember,,,,
The best type of coupling is a) Coincidental   b)Logical  c) Informational    d) Functional.,Remember,,,,
 Big Bank Integration testing is useful for projects with   a) smaller number of modules  b) large number of modules   c) average number of modules   d) None of these.,Remember,,,,
Explain Data-Dictionary.,Understand,,,,
What is integration testing ? Explain with suitable example.,Understand,,,,
What is layered architecture ? ,Remember,,,,
What are the various classifications of failures ? Briefly   explain it.,Understand,,,,
Briefly explain the basic issues of Software Reuse.,Understand,,,,
Define Software Quality. ,Remember,,,,
Draw the CFG of the following code segment and find ,Apply,,,,
McCabe Cyclomatic complexity by applying all the methods. ,,,,,
test(int bint cint x),,,,,
b. = c + 5,,,,,
While(x =1) {,,,,,
  x=x-1,,,,,
if (x = 7)x: = 8,,,,,
else test (x,3, x - 1) ;,,,
  },,,,,
 },Apply,,,,
What are cohesion and coupling ? Discuss different kinds of cohesion.,Evaluate,,,,
If a module has logical cohesion what kind of coupling  is this module likely to have with other modules ? Justify your answer.,Evaluate,,,,
Why is SRS document known as black box specification  of a system ?     ,Analyze,,,,
a) Define with examples the different categories of software  development projects according to the COCOMO  estimation model.,Understand,,,,
b) The size of an organic type software system to be   developed by SCV Consultancy Services has been estimated to be 200 KLOC. Determine the effort   required to develop the software system.,Apply,,,,
a) Explain Meta Model.      ,Understand,,,,
b) A Library Membership Software (LMS) should support the following three options : (i) New member   (ii) Renewal (iii) Cancel membership.  Draw Decision Tree and also implement Decision Table  for the system.   ,Create,,,,
c) Explain unit testing system testing and accept nce   testing.,Understand,,,,
d) What is coding standard ? What are the contents of coding header ?     ,Remember,,,,
a) Explain different types of 'performance testing.  ,Understand,,,,
b) Explain 'equivalence class partitioning' with an example. ,Understand,,,,
c) Differentiate between 'code walkthrough' and 'code  inspection'.,Understand,,,,
Calculate the software product's maintenance cost.,Apply,,,,
a) Who are the different categories of users of the SRS document ? What are their expectations from the SRS document ?,Remember,,,,
What are the advantages of SRS document ? What are  'test data' and 'test vector ?  ,Remember,,,,
c) What are the different types of team structure followed  in software projects ? Discuss them briefly.,Understand,,,,
a) What are the differences between fault failure and  error ?        ,Understand,,,,
b) Write a C function to find the maximum of three integer numbers. Now draw the control flow graph for that  C function. Also find its cyclomatic complexity using possible methods.      ,Create,,,,
Write down two differences between a structure chart and a flow chart.    ,Understand,,,,
d) Distinguish between high-level and detailed designs.  What documents should be produced on completion of  high-level and detailed designs respectively ?,Understand,,,,
a) Draw the context diagram and Level 1 DFD for the  following Mail Order Processing System.  ,Create,,,,
b) Explain when you use the PERT charts and when to use  Gnatt charts, if you were to perform the duties of a  project manager.   ,Understand,,,
c) How are the concepts of Cohesion and Coupling useful   in arriving at good software design ?  ,Understand,,,,
Who proposed the Spiral Model ? a) Boehm    b) Winston Royce c) Rumbaugh  d) Booch.,Remember,,,,
Cardinality in an ER Diagram refers to a) number of attributes in an entity b) the order of co-related entities c) the number of sub-entities d) degree of a relationship.,Remember,,,,
If data from one module is used to direct the o der of  execution in another, then the coupling is known as  a) Stamp Coupling      b) Data Coupling c) Control Coupling    d) Content Coupling.,Remember,,,
To achieve a good design, modules should have a) Weak cohesion Low coupling b) Weak cohesion High coupling c) Strong cohesion Low coupling  d) Strong cohesion High coupling.,Remember,,,
Alpha-testing is done by a) the development team r A b) a friendly set of customers c) the customer himself  d) none of these.,Remember,,,,
Equivalence class partitioning is followed in the   a) white-box testing   b) black-box testing   c) verification        d) none of these.,Remember,,,,
Functionality of software is tested by a) white-box testing  b) glass-box testing c) black-box testing  d) none of these.,Remember,,,,
Which model is generally used for developing GUI of a  system ?  a) Spiral 1%)No/  b) Prototyping c) Iterative waterfall) d) Evolutionary.  ,,,,,
Normalization is used for reducing a) atomicity  b)redundancy  c)    both (a) 85 (b)         d) none of these.,,,,,
Data hiding can be achieved by a) Data Encapsulation  b) Data Overloading  c) Data Abstraction  d) Polymorphism.,,,,,
What are 'baselines' with respect to software configuration management ? ,Remember,,,,
 What is the necessity of software configuration management in developing a software ? ,Remember,,,,
a) What are stress testing and volume testing ?,Remember,,,,
b) Why is testing important ?,Remember,,,,
 What are CASE tools ? How are they helpful in software development life cycle ?,Understand,,,,
 Distinguish between softwary verification and software  validation. When during the software life cycle verification  and validation performed ? ,Understand,,,,
Which life cycle model would you follow for developing  software for each of the following applications ? Justify your selection of model with the help of an appropriate reason. a) A Game  b) A Text editor,Analyze,,,,
a) Design a : White Box' Test suite for the following code : ,Create,,,,
What do you understand by software reliability ?,Understand,,,,
Define the following terms : MTTF MTTBR ROCOF.  ,Remember,,,,
a) Explain when and why you will use PERT charts and when and why will you use Gantt charts while you are   project manager.,Analyze,,,,
b) Consider a software project with 5 activities T1 to T5.   Duration of 5 activities in weeks are 3,2,3,5, 2  respectively. T2 and T4 can start when T1 is complete.  T3 can start when T2 is complete. T5 can start when  both T3 and T4 are complete.  Draw activity network for the project. When is the latest  start date of the activity T3 ? What is the float of the activity T4 ? Which activities are on the critical path ?  Draw the Gantt chart also,Create
It is estimated that there will be 70 errors in a software. During testing 25 errors have been experienced.  Calculate failure intensity with a given value of ɸ = 0.03 using Jelinski-Moranda model. What will be the failure intensity after experiencing 50 errors ? What are  cosmetic and transient errors ?,Apply,,,,
Why is risk analysis important ?  What is the difference between a 'Known' risk and 'Predictable' risk ?        ,Understand,,,,
 Distinguish between a Data Flow Diagram and a flow  chart.     ,Understand,,,,
What is SRS ? Briefly explain the characteristics of a  good SRS.        ,Remember,,,,
 What is meant by stub ? What is a driver ? In which  testing are they required ? Explain briefly.,Understand,,,,
Write short notes on any three of the following :  a) Feasibility study b) Waterfall Model  c) Quality Assurance d) Decision tree and Decision table e) Black Box testing.,Understand,,,,
a) What is the economical feasibility of a'system?,Remember,,,,
b) What is the differenceb etweenI nspectionsa nd Walkthroughs?,Understand,,,,
c) What is Black box Testing strategies?,Remember,,,,
d) What is a decision tree?,Remember,,,,
e) What is Process based estimation?,Remember,,,,
f) Is unit testingp ossibieo r evend esirablein ail circumstances?,Analyze,,,,
g) What is cyclomatic complexity?,Remember,,,,
h) Explain briefly whetherS /W is developedo r engineered,Understand,,,,
l) What is Software Maintenance?,Remember,,,,
j) What is the major duty of a system'analyst?,Remember,,,,
What aret he quality  attributes that every software should possess? Explain them  clearly. List various objectives of software engineering.,Understand,,,,
Explain the waterfall life cycle model.,Understand,,,,
What are test reports? Explain the various testing techniques.,Understand,,,,
What are the projectn management tools used? List them and explain. Explain the side effects that are caused due to software maintennance,Understand,,,,
Who should perform the validation test: S/W developer or S/W user ? Justify your answer.,Evaluate,,,,
Softwarer equiretnenat nalysisis the most communicationin tensives tepi n softwaree ngineeringp rocessD. Iscuss,Understand,,,,
Suppose you want to develop software for a Visitors Registration System For the above mentioned system, develop a Systems Requirembnt Specifications.,Create,,,
What is a user interface. Elaborate the rules for designing the user  interface.,Understand,,,,
What is validation?,Remember,,,,
Whati s embeddesdo ftware?,Remember,,,,
Whati s meantb y softwarem aintenance?,Remember,,,,
What is beta testing?,Remember,,,,
Whati s ther ole of creatinga testd ata,Remember,,,,
Whata rel imitationso f Lineso f Code?,Remember,,,,
What is coupling?,Remember,,,,
What is 4GL environment?,Remember,,,,
Whats oftwarefa ils?,Remember,,,,
Whata red isadvantageosf usingl ibraryr outines?,Remember,,,,
Q2) What are software components?,Remember,,,,
Why is prorotypen ecessary?H ow tloesh is approachs avest he cost and effort?,Understand,,,,
Why the characteristicosf requirementps lay significantr ole in selectinga model?,Remember,,,,
Describet he proceduresto calculatec ost-benefita nalysis.,Understand,,,,
What is meant by feasibility analysis?,Remember,,,,
What is the difference between decision table and decision tree?,Understand,,,,
What is difference among formal, semiformal and informal methods of software development,Understand,,,
Explain various types of COCOMO modes. Explain about the phase wised istributiono f efforts.,Understand,,,,
What types of errors are likely to be discovered through inspection,Remember,,,,
What is softwareq uality andq uality attributes?W hat ares oftwareq uality standards?,Remember,,,,
What is the needf or softwarem aintenance?H ow aret hesem aintained for client seryera rchitecturee nvironment?,Remember,,,,
Explain data design.,Understand,,,,
Explains oftwarec haracteristics.,Understand,,,,
Whati s cyclomaticc omplexity?,Remember,,,,
Whata ret he advantageasn dd isadvantageosf CASEt ools,Remember,,,,
Definet op downa pproachto softwared esign,Remember,,,,
Whati s the differenceb etweenfl owcharta nds tructurec hart?,Understand,,,,
What do you mean by metrics?,Remember,,,,
What is a ER-diagram?,Remember,,,,
What is Rayleigh curve used for?,Remember,,,,
Whatd o youm eanb y SEl-CapabilitMy aturityM odel?,Understand,,,,
Whicha ret het echniquews ithw hichc oste stimateosf a projectm ayb em ade? Explaint heC OCOMOm odel.,Understand,,,,
Whatis meanbt y SoftwareC onfiguratioMn anagement,Remember,,,,
Whata ret hed ifferent oolsu sedf or structuredsy stema nalysis& design.,Understand,,,,
Narnet hev ariousli fe cycler nodelsE. xplaint he spiralr nodeli n detail.,Understand,,,,
How is schedulingo f a project dones o that it is developedi n minimumt ime?,Understand,,,,
What is the difference between structural programming and data oriented designE. xplain.,Understand,,,,
Give a detailed accouni on the debugging techniques on their classification and the methodsi nvolved.,Understand,,,,
ExplainC odings tylea ndC odinge fficiencyL. ist ande xplaint he characteristics of a programmingla nguage.,Understand,,,,
Out of the following life cycle models which one can be considered as the most general model, and the others as specialization of it? a. Classical Waterfall Model    b. Iterative Waterfall Model c. Prototyping Model    d. Spiral Model,Remember,,,
The interface of a software product which is supporting a large number of commands can be developed using________. a. mode-based interface   b.  either mode-based interface or modeless interface c. modeless interface    d. neither mode-based interface nor modeless interface,,,,,
Domain analysis identifies which of the following? a. objects      b. operations  c. relationships among objects   d. all of the above,,,,,
The most abstract artifact associated with software development that can be reused is___.  a. requirements specification     b. design  c. code       d. knowledge e. test cases,Remember,,,,
The primary objective(s) in using any CASE tool is(are):________. a. to increase productivity of software development  b. to decrease software development as well as software maintenance cost c. help to produce better quality software d. all of the above ,Remember,,,,
The basic premise of modern quality assurance is___________. a. continuous process improvement b. thorough product testing  c. if an organization’s processes are good and are followed rigorously then the products are bound to be of good quality  d. collection of process metrics,Remember,,,,
Job specialization is one of the main advantages in case of which organization structure?  a. project format     b. function format  c. either project format or function format  d. both of project format and function format,Remember,,,,
A project estimation technique based on making an educated guess of the project parameters (such as project size, effort required to develop the software project duration cost etc.) is_________.  a. analytical estimation technique   b. heuristic estimation technique c. empirical estimation technique   d. none of the above,Remember,,,
When a system interfaces with other types of systems then that time the testing be required is_________. a. volume testing     b. configuration testing c. compatibility testing    d. maintenance testing,,,,,
,Remember,,,,
The bubbles in a level 1 DFD represent  a. exactly one high-level functional requirement described in SRS document  b. more than one high-level functional requirement  c. part of a high-level functional requirement  d. any of the above depending on the problem  ,Remember,,,,
a. State at least three differences between the exploratory style and modern styles of software development,Understand,,,,
b. What is the need for a software life cycle model? Explain.,Understand,,,,
What is axiomatic specification of system? What are the sequence of steps that can be followed to systematically develop the axiomatic specifications of a function. Give the axiomatic specification of following functions. i. Specify the pre- and post-conditions of a function that takes a real number as argument and returns half the input value if the input is less than or equal to 100, or else returns double the value ii. Axiomatically specify a function named search which takes an integer array and an integer key value as its arguments and returns the index in the array where the key value is present.,Apply,,,
a. Explain at least three reasons in favor of why functional independence is the key factor for a good software design.,Understand,,,,
b. Explain the aim of the structured analysis activity. Which documents are produced at the end of structured analysis activity?,Understand,,,,
a. Differentiate among basic COCOMO model, intermediate COCOMO model and complete COCOMO model.,Understand,,,
b. In what units can you measure the productivity of a software development team? List three important factors that affect the productivity of a software development team.,Remember,,,,
a. Draw the control flow graph for the following function named find maximum. From the control flow graph, determines its Cyclomatic complexity. What is the difference between path and linearly independent path in terms of control flow graph (CFG) of a problem?,Create,,,
 List the major responsibilities of a software project manager. What should be the necessary skills of a software project manager in order to perform the task of software project management?,Remember,,,,
Define six metrics to measure software reliability. Do you consider these metrics entirely satisfactory to provide measure of the reliability of a system? Justify your answer.,Evaluate,,,,
What is the difference between user guidance and on-line help system in the user interface of a software system?,Understand,,,,
Out of the following life cycle models which one can be considered as the most general model, and the others as specialization of it? a) Classical Waterfall Model  b) Iterative Waterfall Model c) Prototyping Model d) Spiral Model,Remember,,,
Which of the following view captured by UML diagrams can be considered as black box model of a system? a) structural view b) behavioural view c) user’s view  d) implementation view,Remember,,,,
Among development phases of software life cycle, which phase typically consumes the maximum effort? a) Requirements analysis and specification b) Design c) Coding d) Testing ,Remember,,,
The design pattern solutions are typically described in terms of  a) class diagrams b) object diagrams c) interaction diagrams d) both class and interaction diagrams ,Remember,,,,
The context diagram of a DFD is also known as a) level 0 DFD  b) level 1 DFD c) level 2 DFD d) none of these,,,,,
Spiral life cycle model is not suitable for products that are vulnerable to large number of risks.,Remember,,,,
The upper rows of the decision table specify the corresponding actions to be taken when an evaluation test is satisfied.,Remember,,,,
Applications developed using 4 GLs would normally be more efficient and run faster compared to applications developed using 3 GL.,Remember,,,,
A DFD model of a system represents the functions performed by the system and the data flow taking place among these functions.,Remember,,,,
The aggregation relationship cannot be reflexive and symmetric but is transitive.,Remember,,,,
Discuss the two important techniques that software engineering uses to tackle the problem of exponential growth of problem complexity with its size.,Understand,,,,
Explain the various phases of a classical waterfall model.,Understand,,,,
Identify the use of algebraic specifications in the context of requirements specification.,Analyze,,,,
Discuss the shortcomings of the DFD model.,Understand,,,,
Explain why is it necessary to create a model in the context of good software development.,Understand,,,,
Explain the purpose of different types of objects identified during domain analysis. Explain how these objects interact among each other.,Analyze,,,,
a.       Write down some popular design patterns and their necessities. ,Remember,,,,
b.      Explain the Menu-based interfaces,Understand,,,,
c.       How does the human cognition capabilities and limitations influence human-computer user interface designing?,Evaluate,,,,
a.       Discuss the various coding standards and coding guidelines ,Understand,,,,
b.      Explain Black Box Testing.,Understand,,,,
c.       What is meant by a task model? Explain it with examples.,Understand,,,,
Write short notes on the following  a. Basic COCOMO model b. Intermediate COCOMO model c. Complete COCOMO model,Understand,,,,
a.       What is egoless programming? How can it be realized?,Understand,,,,
b.       As a project manager, identify the characteristics that you would look for in a software engineer while trying to select personnel for your team.,Analyze,,,
C       List and explain three common types of risks that a typical software project might suffer from.,Remember,,,,
Functional independence results in a) error isolation b) scope of reuse c) understandability d) all of the above ,Remember,,,,
The context diagram of a DFD is also known as a) level 0 DFD  b) level 1 DFD c) level 2 DFD d) none of the above,Remember,,,,
Which of the following view captured by UML diagrams can be considered as black box model of a system? a) structural view b) behavioural view c) user’s view  d) implementation view,Remember,,,,
The class that should be responsible for doing certain things for which it has the necessary information – is the solution proposed by a) creator pattern b) controller pattern c) expert pattern  d) façade pattern,,,,,
